fecha,tipo,venta_real_historica,prediccion_futura,limite_inferior,limite_superior,Hay_Promocion,Impacto_Futbol
2023-01-23,historico,2013.75,,,,0,0.0
2023-01-30,historico,5331.9,,,,0,0.0
2023-02-06,historico,3318.15,,,,0,0.0
2023-02-13,historico,3318.15,,,,0,0.0
2023-02-20,historico,3318.15,,,,0,0.0
2023-02-27,historico,9468.3,,,,0,0.0
2023-03-06,historico,6150.15,,,,0,0.0
2023-03-13,historico,6150.15,,,,0,0.0
2023-03-20,historico,6150.15,,,,0,0.0
2023-03-27,historico,12939.82,,,,0,45.0
2023-04-03,historico,6789.67,,,,0,69.0
2023-04-10,historico,6789.67,,,,0,45.0
2023-04-17,historico,6789.67,,,,0,45.0
2023-04-24,historico,6789.67,,,,0,54.0
2023-05-01,historico,8484.53,,,,0,54.0
2023-05-08,historico,8484.53,,,,0,54.0
2023-05-15,historico,8484.53,,,,0,51.0
2023-05-22,historico,8484.53,,,,0,75.0
2023-05-29,historico,15707.79,,,,0,0.0
2023-06-05,historico,7223.26,,,,0,0.0
2023-06-12,historico,7223.26,,,,0,0.0
2023-06-19,historico,7223.26,,,,0,0.0
2023-06-26,historico,12469.98,,,,0,0.0
2023-07-03,historico,5246.72,,,,0,0.0
2023-07-10,historico,5246.72,,,,0,0.0
2023-07-17,historico,5246.72,,,,0,0.0
2023-07-24,historico,5246.72,,,,0,0.0
2023-07-31,historico,11143.84,,,,0,18.0
2023-08-07,historico,5897.12,,,,0,45.0
2023-08-14,historico,5897.12,,,,0,27.0
2023-08-21,historico,5897.12,,,,0,51.0
2023-08-28,historico,12244.9,,,,0,48.0
2023-09-04,historico,6347.78,,,,0,0.0
2023-09-11,historico,6347.78,,,,0,45.0
2023-09-18,historico,6347.78,,,,0,51.0
2023-09-25,historico,11320.94,,,,0,45.0
2023-10-02,historico,4973.16,,,,0,51.0
2023-10-09,historico,4973.16,,,,0,0.0
2023-10-16,historico,4973.16,,,,0,36.0
2023-10-23,historico,4973.16,,,,0,54.0
2023-10-30,historico,11099.47,,,,0,54.0
2023-11-06,historico,6126.3,,,,0,57.0
2023-11-13,historico,6126.3,,,,0,0.0
2023-11-20,historico,6126.3,,,,0,45.0
2023-11-27,historico,11533.24,,,,0,51.0
2023-12-04,historico,5406.94,,,,0,93.0
2023-12-11,historico,5406.94,,,,0,42.0
2023-12-18,historico,5406.94,,,,0,45.0
2023-12-25,historico,5406.94,,,,0,81.0
2024-01-01,historico,4455.23,,,,0,21.0
2024-01-08,historico,4455.23,,,,0,15.0
2024-01-15,historico,4455.23,,,,0,12.0
2024-01-22,historico,4455.23,,,,0,30.0
2024-01-29,historico,8765.11,,,,0,81.0
2024-02-05,historico,4309.88,,,,0,51.0
2024-02-12,historico,4309.88,,,,0,54.0
